     Date_operation  Transaction_amount
01.09.2021 11:31:07              -88.45
01.09.2021 18:28:48             -246.45
01.10.2021 15:21:14              -96.78
01.11.2021 15:32:24             -228.00
02.09.2021 09:16:40             -289.99
02.09.2021 11:57:18             -126.12
02.09.2021 17:33:29             -124.89
02.09.2021 19:18:31              -34.00
02.11.2021 10:05:06              -69.99
02.11.2021 11:56:26              -68.00
02.11.2021 11:59:48              -53.99
02.11.2021 16:18:19              -57.16
02.11.2021 16:20:22              -90.65
03.09.2021 13:38:40              -94.08
03.09.2021 14:46:37             -228.91
03.10.2021 10:14:22             -167.97
03.10.2021 10:20:42             -105.98
03.10.2021 12:46:44             -152.00
03.11.2021 13:14:19             -153.29
03.11.2021 14:05:54              -96.98
04.09.2021 13:31:13             -278.00
04.10.2021 14:38:57            -1195.77
04.10.2021 16:35:42             -108.56
04.11.2021 13:08:33             -224.00
04.11.2021 17:00:29             -395.92
04.11.2021 21:17:30             -241.93
05.09.2021 16:15:26             -433.81
05.09.2021 16:23:50              -63.09
05.09.2021 18:44:09             -305.96
05.10.2021 15:27:42             -220.95
05.10.2021 20:35:52             -163.97
05.11.2021 14:17:51             -143.82
05.11.2021 14:33:34             -205.23
05.11.2021 14:44:12             -569.94
05.11.2021 14:48:56             -372.00
05.11.2021 14:55:51             -103.80
05.11.2021 21:53:15             -114.90
06.09.2021 11:07:55              -92.61
06.09.2021 18:23:28             -150.67
06.10.2021 16:32:03              -94.82
06.11.2021 12:48:10             -119.80
06.11.2021 21:10:32             -119.80
07.09.2021 10:16:58             -312.96
07.09.2021 11:15:30             -237.60
07.10.2021 12:34:16             -196.33
07.10.2021 17:14:54             -111.78
07.10.2021 17:53:24               -7.99
07.11.2021 09:35:29              -39.90
07.11.2021 18:50:25             -304.59
08.09.2021 11:00:48             -146.00
08.10.2021 09:47:54             -133.97
08.10.2021 15:24:46              -59.47
08.10.2021 18:38:30              -34.00
08.11.2021 15:07:40             -876.97
08.11.2021 17:07:38             -100.36
08.11.2021 21:05:19             -105.89
09.09.2021 11:00:39              -90.16
09.10.2021 10:42:23             -185.98
09.11.2021 11:59:20             -184.70
10.09.2021 09:06:21             -106.68
10.09.2021 10:52:11              -91.88
10.09.2021 13:13:16              -32.99
10.09.2021 16:09:53             -103.98
10.09.2021 20:32:54             -219.98
10.10.2021 12:59:42             -231.96
10.10.2021 22:11:50             -111.98
10.11.2021 22:04:41              -89.80
11.09.2021 12:56:58              -91.39
11.09.2021 19:38:33             -249.97
11.09.2021 19:40:47             -222.00
11.10.2021 10:50:18             -568.75
11.10.2021 16:50:19             -136.76
11.10.2021 20:27:24             -182.87
11.11.2021 15:25:03              -99.32
11.11.2021 21:09:32             -162.67
12.09.2021 10:25:59              -59.99
12.09.2021 14:24:21              -68.00
12.09.2021 14:29:24             -146.00
12.10.2021 17:21:54             -152.00
12.10.2021 19:16:06             -219.32
12.11.2021 12:34:17             -292.93
12.11.2021 12:44:32             -100.36
13.09.2021 15:27:12              -87.96
13.09.2021 17:46:43             -269.80
13.10.2021 15:23:23             -158.35
13.10.2021 16:07:34              -58.38
13.11.2021 18:26:04             -191.70
14.09.2021 13:44:51             -152.76
14.09.2021 15:30:12             -238.79
14.09.2021 21:34:32              -49.99
14.10.2021 10:34:50              -98.98
14.10.2021 15:29:13             -111.57
14.10.2021 18:50:33             -154.98
14.11.2021 10:56:53             -127.80
14.11.2021 14:26:10              -33.90
15.09.2021 10:18:44              -69.99
15.09.2021 10:27:33             -127.99
15.09.2021 17:15:12             -162.98
15.09.2021 21:18:43             -113.98
15.10.2021 17:00:30             -159.97
15.11.2021 12:48:42             -387.96
15.11.2021 16:56:37             -127.80
